Sr,Area,District,State,Address,Contact Number,Latitude,Longitude
1236,Madhyamgram,North 24 parganas,West Bengal,,8777027437,,
1237,Madhyamgram,North 24 parganas,West Bengal,,6290007267,,
1238,Madhyamgram,North 24 parganas,West Bengal,,9007307499,,
1239,Madhyamgram,North 24 parganas,West Bengal,,9433484556,,
1240,Madhyamgram,North 24 parganas,West Bengal,,9830126245,,
1241,Madhyamgram,North 24 parganas,West Bengal,,9007915501,,
1242,Madhyamgram,North 24 parganas,West Bengal,,9830070024,,
1243,Madhyamgram,North 24 parganas,West Bengal,,8296994447,,
1244,Saltlake,South 24 parganas,West Bengal,,9830179101,,
1245,Saltlake,South 24 parganas,West Bengal,,7439977545,,
1246,Howrah,Howrah,West Bengal,,9007024466,,
1247,Newtown,North 24 parganas,West Bengal,,9836888976,,
1248,Baranagar,North 24 parganas,West Bengal,,6289837384,,
1249,Kharagpur,Paschim medinipur,West Bengal,,91534 54048,,
1250,Kharagpur,Paschim medinipur,West Bengal,,8436265193,,
1251,Kharagpur,Paschim medinipur,West Bengal,,9831194879,,
1252,Kharagpur,Paschim medinipur,West Bengal,,3222253648,,
1253,Kharagpur,Paschim medinipur,West Bengal,,9064256818,,
1254,Kharagpur,Paschim medinipur,West Bengal,,9933435206/8293377093/7719380542,,
1255,Kharagpur,Paschim medinipur,West Bengal,,7001573014,,
1256,Kharagpur,Paschim medinipur,West Bengal,,9093630398,,
1257,Midnapore,Paschim medinipur,West Bengal,,8145822292,,
1258,Midnapore,Paschim medinipur,West Bengal,,7980154348,,
1259,Midnapore,Paschim medinipur,West Bengal,,9932867535,,
1260,Midnapore,Paschim medinipur,West Bengal,,9564849757,,
1261,Kharagpur,Paschim medinipur,West Bengal,,9434042302,,
1262,Kharagpur,Paschim medinipur,West Bengal,,9474974470,,
1263,Kharagpur,Paschim medinipur,West Bengal,,9434158802,,
1264,Kharagpur,Paschim medinipur,West Bengal,,9002291842,,
1265,Kharagpur,Paschim medinipur,West Bengal,,9933435206,,
1266,Kharagpur,Paschim medinipur,West Bengal,,8293377093,,
1267,Kharagpur,Paschim medinipur,West Bengal,,7719380542,,
1268,Kharagpur,Paschim medinipur,West Bengal,,3222253648,,
1269,Midnapore,Paschim medinipur,West Bengal,,7678651413,,
1270,Midnapore,Paschim medinipur,West Bengal,,32220264132,,
1271,Egra,Purba medinipur,West Bengal,,9734534943,,
1272,Tamluk,Purba medinipur,West Bengal,,9333846649,,
1273,Kalyani,Nadia,West Bengal,,8013011276,,
1274,Dum dum,North 24 parganas,West Bengal,,9431119656,,
1275,Dum dum,North 24 parganas,West Bengal,,7439174645,,
1276,Dum dum,North 24 parganas,West Bengal,,9433782957,,
1277,Durganagar,North 24 parganas,West Bengal,,9433782957,,
1278,Baghajatin,Kolkata,West Bengal,,9064464248,,
1279,Baghajatin,Kolkata,West Bengal,,9748683892,,
1280,Jadavpur,Kolkata,West Bengal,,7059484445,,
1281,Jadavpur,Kolkata,West Bengal,,9163548320,,
1282,Jadavpur,Kolkata,West Bengal,,9163554812,,
1283,Jadavpur,Kolkata,West Bengal,,9748683892 / 9830083350,,
1284,Baghajatin,Kolkata,West Bengal,,9748683892 / 9830083350,,
1285,Baghajatin,Kolkata,West Bengal,,6290552908,,
1286,Baghajatin,Kolkata,West Bengal,,9831510223,,
1287,Garia,South 24 parganas,West Bengal,,9330931322,,
1288,Baghajatin,Kolkata,West Bengal,,8017711721,,
1289,Barasat,North 24 parganas,West Bengal,,9748761458,,
1290,Beleghata,Kolkata,West Bengal,,8697471310,,
1291,Bally,Howrah,West Bengal,,7044652869,,
1292,Bally,Howrah,West Bengal,,8961995266,,
1293,Bally,Howrah,West Bengal,,8240750916,,
1294,Serampore,Hooghly,West Bengal,,7044652869,,
1295,Serampore,Hooghly,West Bengal,,8961995266,,
1296,Serampore,Hooghly,West Bengal,,8240750916,,
1297,Bally,Howrah,West Bengal,,9038585683,,
1298,Bally,Howrah,West Bengal,,8276896675,,
1299,Khardaha,North 24 parganas,West Bengal,,8777206695,,
1300,Barrackpore,North 24 parganas,West Bengal,,9903407629,,
1301,Barrackpore,North 24 parganas,West Bengal,,9748641292,,
1302,Sodepur,North 24 parganas,West Bengal,,9230629923,,
1303,Khardaha,North 24 parganas,West Bengal,,9051441342,,
1304,New barrackpore,North 24 parganas,West Bengal,,6290007276,,
1305,Barrackpore,North 24 parganas,West Bengal,,9089085252,,
1306,Barrackpore,North 24 parganas,West Bengal,,8697381082,,
1307,Barrackpore,North 24 parganas,West Bengal,,9733617757,,
1308,Barasat,North 24 parganas,West Bengal,,9830646397,,
1309,Barasat,North 24 parganas,West Bengal,,9836381501,,
1310,Barasat,North 24 parganas,West Bengal,,6295694761,,
1311,Barasat,North 24 parganas,West Bengal,,9.19749E+11,,
1312,Barasat,North 24 parganas,West Bengal,,9.19904E+11,,
1313,Barasat,North 24 parganas,West Bengal,,8336082447,,
1314,Barasat,North 24 parganas,West Bengal,,9830070024,,
1315,Barasat,North 24 parganas,West Bengal,,9007915501,,
1316,Barasat,North 24 parganas,West Bengal,,9748761456,,
1317,Barasat,North 24 parganas,West Bengal,,7059564431,,
1318,Belur,Howrah,West Bengal,,9038585683,,
